clade_membership,frequency,projected_frequency,n_strains,observed_frequency,future_n_strains,forecast_error,absolute_forecast_error,sample,timepoint,future_timepoint,delta_month,delay_type
A.6.6.3,0.129623,0.10624883674542289,86,0.005207000000000001,29,-0.10104183674542289,0.10104183674542289,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.6.3.2,0.030130999999999998,0.015296441181174755,13,0.004342,11,-0.010954441181174755,0.010954441181174755,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.6.3.3,0.091889,0.08815197064634409,65,0.000865,18,-0.08728697064634408,0.08728697064634408,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8,0.851056,0.8848739251206035,530,0.994453,577,0.10957907487939655,0.10957907487939655,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.1,0.065216,0.03375863054768844,62,0.017352,11,-0.01640663054768844,0.01640663054768844,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.2,0.014355,0.00533397470236994,10,0.0,0,-0.00533397470236994,0.00533397470236994,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.3,0.045457,0.027745100116945,20,0.000567,8,-0.027178100116945,0.027178100116945,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.4,0.5807100000000001,0.7430666601158864,345,0.36706400000000006,249,-0.37600266011588634,0.37600266011588634,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.4.1,0.033555,0.04683736438912864,11,0.002283,13,-0.04455436438912864,0.04455436438912864,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.4.2,0.040526,0.0458342267425217,14,0.006259000000000001,6,-0.0395752267425217,0.0395752267425217,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.4.3,0.032447000000000004,0.031069473027312,17,0.00017900000000000001,5,-0.030890473027312,0.030890473027312,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.4.5,0.00045000000000000004,0.00025463979057348957,10,0.0,0,-0.00025463979057348957,0.00025463979057348957,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.4.6,0.032545,0.0387383827687242,9,0.024595000000000002,27,-0.014143382768724195,0.014143382768724195,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.4.7,0.121365,0.12213271822253711,93,0.149647,103,0.027514281777462887,0.027514281777462887,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.5,0.068174,0.03241764889564572,34,0.60774,300,0.5753223511043543,0.5753223511043543,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.5.1,0.035949,0.02324648032883508,18,0.033077,19,0.009830519671164922,0.009830519671164922,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.5.2,0.028716,0.0071557561363613,8,0.5746629999999999,281,0.5675072438636386,0.5675072438636386,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.5.2.4,0.013047,0.0032175847819152,4,0.205086,93,0.2018684152180848,0.2018684152180848,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.8.5.2.4.1,0.00275,0.0003859876907186,1,0.137568,47,0.1371820123092814,0.1371820123092814,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6,0.99998,0.999999999999981,465,0.99992,608,-7.999999998098417e-05,7.999999998098417e-05,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.6,0.11891000000000002,0.09954063369391078,70,0.0054670000000000005,31,-0.09407363369391078,0.09407363369391078,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
